smiles,Ames,LD50_Zhu,hERG_Karim,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,SR-ARE,SR-HSE,SR-MMP,SR-p53
CSc1c(C)cc(OC(=O)N(C)C(C)=O)cc1C,,1.0,,,,,,,,,
Fc1ccc(-n2ncc3c2CCCC3CCN2CCOCC2)cc1,,,1.0,,,,,,,,
C=CC(=O)OCCOc1ccccc1,,0.0,,0.0,0.0,,0.0,,1.0,,1.0
O=C1c2ccccc2-c2cc3ccccc3cc21,1.0,,,,,,,,,,
O=C(N[C@H]1CC[C@H](CCN2CCN(c3nsc4ccccc34)CC2)CC1)c1ccco1,,,1.0,,,,,,,,
O=Cc1ccccc1O,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Cn1c(=O)sc2ccc(-c3ccc(C[C@@H](C#N)NC(=O)[C@@H]4CNCCCO4)cc3)cc21,,,0.0,,,,,,,,
OC1=c2c(O)cc3cccc4ccc(c2c43)C23CCCCC12O3,1.0,,,,,,,,,,
NS(=O)(=O)O,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCCCO,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OCCC1CCCCC1,,0.0,,,,,,,,,
O=C(c1cccc(Cl)c1Cl)N(CCC1CC1)C1CCNC1,,,1.0,,,,,,,,
FC(F)(F)C(F)(F)C(Cl)Cl,0.0,,,,,,,,,,
CC=CCC=O,1.0,,,,,,,,,,
C[C@@H]1NC(=O)[C@@H](N)CNC(=O)[C@H]([C@@H]2CCNC(N)=N2)NC(=O)/C(=C/NC(N)=O)NC(=O)[C@H](CNC(=O)C[C@@H](N)CCCN)NC1=O,,,,,,,,0.0,0.0,,
O=C(O)Cc1ccc(N2CCC(CN3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1,,,0.0,,,,,,,,
O=C1Nc2cc(NC(=O)c3c[nH]cc(-c4ccccc4F)c3=O)ccc2/C1=C/c1ccc[nH]1,,,0.0,,,,,,,,
COC1COCCC1N[C@@H]1C[C@H]2CN(C(C)=O)C[C@@]2(C(=O)N2CCc3ncc(C(F)(F)F)cc3C2)C1,,,0.0,,,,,,,,
C[CH2][Sn]([Br])([CH2]C)[CH2]C,,,,0.0,,,1.0,,1.0,1.0,1.0
O=P(c1ccccc1)(c1ccccc1)N(Cc1ccccn1)Cc1ccccn1,,,0.0,,,,,,,,
Cc1n[nH]c(C(=O)N[C@@H]2CC(C)(C)Oc3nc(-c4ccc(Cl)cc4Cl)c(-c4ccc(Cl)cc4)cc32)c1C,,,1.0,,,,,,,,
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1[C@@H](O)[C@@H](O)[C@@H]2O,,,0.0,,,,,,,,
CN(CCOc1ccc(Cl)c(Cl)c1)CCc1ccc(Cl)c(Cl)c1,,,1.0,,,,,,,,
CO/N=C1/C[C@]2(C[C@@H]3C[C@@H](CC=C(C)C[C@@H](C)C=CC=C4CO[C@@H]5[C@H](O)C(C)=C[C@@H](C(=O)O3)[C@]45O)O2)O[C@H](/C(C)=C/C(C)C)[C@H]1C,,,,0.0,0.0,,,,,1.0,
Cc1nc(N2CCC(N3CCCC3=O)CC2)nc2ccc(NC(=O)COc3ccc(OC(F)(F)F)cc3)cc12,,,1.0,,,,,,,,
OC1C=Cc2c(ccc3c4c(ccc23)CCC4)C1O,1.0,,,,,,,,,,
S=c1[nH]cnc2nc[nH]c12,,1.0,,,,,,,,,
O=C1[C@@H]2[C@H]3CC[C@H](C3)[C@@H]2C(=O)N1CCCCN1CCN(c2ncccn2)CC1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CN1C(=O)C=CC2(C)C3CCC4(C)C(O)C(=Cc5ccccc5)CC4C3CCC12,,,1.0,,,,,,,,
CC(=O)ON(OCc1ccc(Cl)cc1)C(=O)c1ccccc1,1.0,,,,,,,,,,
CCCCCCCCCCCCc1ccc(S(=O)(=O)O)cc1,0.0,1.0,,,,,,,,,
