smiles,Ames,LD50_Zhu,hERG_Karim,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,SR-ARE,SR-HSE,SR-MMP,SR-p53,CYP2C9_Veith,CYP2D6_Veith,CYP3A4_Veith,TC_TOX21_Aromatase_Inhibition,TC_TOX21_AhR_LUC_Agonist,TC_ATG_Ahr_CIS_up,TC_ATG_Ahr_CIS_dn
B.C1COCCN1,,,,,,,,,,,,,,,,,0.0,0.0
Br.Brc1ccc(C2=Nn3c(nnc3-c3cccnc3)SC2)s1,,,,,,,,,,,,,,1.0,,,,
Br.C/C(=N/NC1=NCCN1)c1cn(C2=NCCN2)nc1C,,,,,,,,,,,,0.0,0.0,0.0,,,,
Br.CC(C)CC1CC(=O)OC1(C)C(=O)CSc1nc2ccccc2s1,,,,,,,,,,,,1.0,,1.0,,,,
Br.CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,,,,,,,,,,,,,,,0.0,0.0,,
Br.CC(N)Cc1ccc(O)cc1,,,,,,,,,,,,,,,0.0,0.0,,
Br.CC(NC1=NCCCCC1)c1ccccc1,,,,,,,,,,,,0.0,1.0,0.0,,,,
Br.CC1(C(=O)CSc2nc3ccccc3s2)CCC(=O)O1,,,,,,,,,,,,0.0,0.0,,,,,
Br.CCCCCCCCCCn1c2c(c(=N)c3c1CCC3)CCC2,,,,,,,,,,,,,1.0,,,,,
Br.CCCCCCCCN1C=CN(C)C1,,,,,,,,,,,,,,,1.0,0.0,,
Br.CCCCCCN1Cc2ccccc2C1,,,,,,,,,,,,0.0,1.0,0.0,,,,
Br.CCCCN1C2=NCCCN2c2ccccc21,,,,,,,,,,,,,1.0,0.0,,,,
Br.CCCCN1C=CN(C)C1,,,,,,,,,,,,,,,0.0,0.0,,
Br.CCCCn1c(=N)n(CC(=O)c2ccco2)c2ccccc21,,,,,,,,,,,,0.0,1.0,,,,,
Br.CCCN1C=CN(C)C1,,,,,,,,,,,,,,,0.0,0.0,,
Br.CCN1C=CN(C)C1C,,,,,,,,,,,,,,,0.0,0.0,,
Br.CCOc1ccc2c(c1)nc(SCC(=O)c1ccc(Br)s1)n2C,,,,,,,,,,,,,,1.0,,,,
Br.CC[C@H]1CN2CC[C@@H]1C[C@H]2[C@@H](O)c1ccnc2ccc(OC)cc12.O,,,,,,,,,,,,0.0,1.0,0.0,,,,
