task,is_primary,model,threshold,n_train,n_val,n_test,train_pos_rate,val_pos_rate,test_pos_rate,val_best_mcc,val_mcc,val_roc_auc,val_pr_auc,val_f1,val_precision,val_recall,val_accuracy,val_bal_acc,test_mcc,test_roc_auc,test_pr_auc,test_f1,test_precision,test_recall,test_accuracy,test_bal_acc
Ames,True,RF,0.5299999999999999,4827,784,928,0.5195773772529522,0.5573979591836735,0.6605603448275862,0.4979735556508083,0.4979735556508083,0.8176788293249098,0.8386240872863311,0.7651966626936829,0.7985074626865671,0.7345537757437071,0.7487244897959183,0.7505621904655135,0.5491833158771683,0.8583961262590953,0.9177808357777826,0.8553359683794466,0.8297546012269938,0.8825448613376835,0.802801724137931,0.7650819544783656
Ames,True,XGB,0.5399999999999999,4827,784,928,0.5195773772529522,0.5573979591836735,0.6605603448275862,0.46714755741707487,0.46714755741707487,0.8067548585785979,0.8390279027501255,0.7508939213349225,0.7835820895522388,0.7208237986270023,0.7334183673469388,0.7350516687659507,0.5032983234706159,0.8380641653072322,0.8997469847046471,0.8396825396825397,0.8176197836166924,0.8629690048939641,0.7823275862068966,0.7441829151453947
Ames,True,MLP,0.48999999999999994,4827,784,928,0.5195773772529522,0.5573979591836735,0.6605603448275862,0.33636108608160703,0.33636108608160703,0.7257565665824756,0.7655692112422405,0.7104072398190046,0.7024608501118568,0.7185354691075515,0.673469387755102,0.6676250832569458,0.5097199689682248,0.8230301147103758,0.8838755953341964,0.838813151563753,0.8249211356466877,0.8531810766721044,0.7834051724137931,0.750400062145576
Ames,True,SVM,0.49999999999999994,4827,784,928,0.5195773772529522,0.5573979591836735,0.6605603448275862,0.26535066232052834,0.26535066232052834,0.6673612988743001,0.7209131725638085,0.6816647919010124,0.6703539823008849,0.6933638443935927,0.639030612244898,0.6319845158567388,0.3633111349821099,0.7414226158108702,0.8313226927742032,0.7771333885666943,0.7895622895622896,0.765089722675367,0.7101293103448276,0.684132162924985
LD50_Zhu,True,RF,0.5099999999999999,5670,694,662,0.44409171075837744,0.4322766570605187,0.40634441087613293,0.5671917250132789,0.5671917250132789,0.8693739424703892,0.8372416348214664,0.7175572519083969,0.8392857142857143,0.6266666666666667,0.7867435158501441,0.7676480541455161,0.39292205404707453,0.7696491576567629,0.7167291424452501,0.5827814569536424,0.717391304347826,0.49070631970260226,0.7145015105740181,0.6791953990370518
LD50_Zhu,True,XGB,0.38999999999999996,5670,694,662,0.44409171075837744,0.4322766570605187,0.40634441087613293,0.5468259435333611,0.5468259435333611,0.8493401015228427,0.7993466908729092,0.7542503863987635,0.7031700288184438,0.8133333333333334,0.770893371757925,0.7759560067681895,0.3240244881382989,0.7142654445358836,0.6336053779477111,0.6302250803858521,0.5552407932011332,0.7286245353159851,0.6525679758308157,0.6645667205842012
LD50_Zhu,True,MLP,0.7599999999999999,5670,694,662,0.44409171075837744,0.4322766570605187,0.40634441087613293,0.48910610902230356,0.48910610902230356,0.8171489001692047,0.7872294583641677,0.639344262295082,0.8297872340425532,0.52,0.7463976945244957,0.7193908629441624,0.32004979528685734,0.7048346055979644,0.628302248460978,0.527027027027027,0.6685714285714286,0.4349442379182156,0.6827794561933535,0.6436807703585989
LD50_Zhu,True,SVM,0.4499999999999999,5670,694,662,0.44409171075837744,0.4322766570605187,0.40634441087613293,0.46815819927852026,0.46815819927852026,0.7828595600676818,0.736296566886444,0.6896551724137931,0.7142857142857143,0.6666666666666666,0.7406340057636888,0.7318104906937394,0.2762221890782232,0.6924997871676268,0.6045530397764723,0.5771324863883848,0.5638297872340425,0.5910780669144982,0.648036253776435,0.6390504838389285
hERG_Karim,True,RF,0.5299999999999999,8918,1060,1223,0.4908051132540929,0.5179245283018868,0.5044971381847915,0.4273136128476962,0.4273136128476962,0.7349138622437522,0.7915096115782871,0.5856622114216282,0.8795620437956204,0.43897996357012753,0.6783018867924528,0.6872003536050246,0.24555176459861708,0.701895148996261,0.7130380918708615,0.506198347107438,0.698005698005698,0.39708265802269044,0.6091578086672118,0.6110825831367578
hERG_Karim,True,XGB,0.6,8918,1060,1223,0.4908051132540929,0.5179245283018868,0.5044971381847915,0.37377830509621945,0.37377830509621945,0.7097801018753186,0.7659660116731706,0.5652694610778443,0.8251748251748252,0.42987249544626593,0.6575471698113208,0.6660125686624676,0.2895557256596199,0.7139865526260891,0.7205211552676634,0.5043103448275862,0.752411575562701,0.37925445705024313,0.6238757154538022,0.626095875389808
