task,pos_rate,EF@1%,EF@5%,EF@10%,EF_max
Ames,0.6605603448275862,1.3624796084828712,1.4494463920030545,1.4487537055552633,1.5138662316476346
LD50_Zhu,0.40634441087613293,2.109399893786511,1.8819155915154164,1.8365421960827832,2.4609665427509295
hERG_Karim,0.5044971381847915,1.6772222914848522,1.6624666701521411,1.67598265934037,1.9821717990275527
NR-AhR,0.13184931506849315,7.584415584415584,6.320346320346321,4.756328417345366,7.584415584415584
NR-Aromatase,0.056338028169014086,10.649999999999999,5.68,3.195,17.75
NR-ER,0.10351201478743069,9.660714285714285,5.520408163265306,4.039935064935064,9.660714285714285
NR-ER-LBD,0.045813586097946286,21.82758620689655,10.231681034482758,6.480064655172414,21.82758620689655
SR-ARE,0.21092278719397364,3.950892857142857,3.3363095238095237,2.6339285714285716,4.741071428571428
SR-HSE,0.04310344827586207,11.6,5.6,4.8,23.2
SR-MMP,0.2916666666666667,3.4285714285714284,3.1648351648351647,3.0252100840336134,3.4285714285714284
SR-p53,0.07550335570469799,4.4148148148148145,4.8562962962962954,4.194074074074074,13.244444444444444
