task,is_primary,threshold,val_mcc_at_threshold,test_mcc,test_roc_auc,test_pr_auc,test_f1,test_accuracy,test_bal_acc,test_precision,test_recall,n_test,n_pos,n_neg
Ames,True,0.6200000047683716,0.5534813500031903,0.591199590989381,0.8802920842072555,0.9250941620661473,0.8631578947368421,0.8178879310344828,0.7934773039177607,0.8569131832797428,0.8694942903752039,928,613,315
LD50_Zhu,True,0.6499999761581421,0.6021140595624367,0.4672526993825507,0.8038442256212343,0.7367853450010845,0.6556701030927835,0.7477341389728097,0.7230199494877834,0.7361111111111112,0.5910780669144982,662,269,393
hERG_Karim,True,0.5899999737739563,0.5020165039251753,0.35614460373171863,0.734906472819081,0.7365679424173041,0.6402164111812444,0.6737530662305805,0.6746460302432188,0.7215447154471545,0.5753646677471637,1223,617,606
NR-AhR,True,0.4000000059604645,0.740753842827905,0.4523572534479412,0.8635723251107867,0.5646096814609664,0.5174825174825175,0.8818493150684932,0.7116601347370578,0.5606060606060606,0.4805194805194805,584,77,507
NR-Aromatase,True,0.3499999940395355,0.4843288216241437,0.2347124295041324,0.8323180018275967,0.2991963165267011,0.28125,0.9074446680080482,0.6319296375266524,0.25,0.32142857142857145,497,28,469
NR-ER,True,0.5699999928474426,0.45909510009684257,0.4697459325036329,0.786561119293078,0.514418202635706,0.45569620253164556,0.9205175600739371,0.655559646539028,0.782608695652174,0.32142857142857145,541,56,485
NR-ER-LBD,True,0.5,0.3921130102070315,0.5905020619671716,0.8997488010961407,0.6098158618277945,0.5777777777777777,0.9699842022116903,0.7216544873258735,0.8125,0.4482758620689655,633,29,604
SR-ARE,True,0.20000000298023224,0.5307506128207373,0.39039142703257834,0.7944936924650529,0.5267826345606995,0.532319391634981,0.768361581920904,0.7158412887828163,0.46357615894039733,0.625,531,112,419
SR-HSE,True,0.3100000023841858,0.44928072376036565,0.29479114435539555,0.8321441441441442,0.22250193489071438,0.3181818181818182,0.9482758620689655,0.6291891891891892,0.3684210526315789,0.28,580,25,555
SR-MMP,True,0.5099999904632568,0.6770568299033128,0.605871651884332,0.9016749556965642,0.7947743681365755,0.7177700348432056,0.8392857142857143,0.7985194077631053,0.7357142857142858,0.7006802721088435,504,147,357
SR-p53,True,0.5,0.44335109852147264,0.35775309002134464,0.8450897358338374,0.4484651789480776,0.3492063492063492,0.9312080536912751,0.6158701351078847,0.6111111111111112,0.24444444444444444,596,45,551
