task_name,cluster_id,cluster_method,representative_smiles,n_occurrences,n_molecules,n_positive_molecules,mean_seed_score,n_validated_occurrences,n_tested_occurrences,validated_fraction,mean_true_drop,mean_random_drop,mean_delta_vs_random,mean_empirical_p,selection_basis
Ames,28,exact_repeat,Nc,4,4,4,1.0,2.0,4.0,0.5,0.1325877457857132,-0.041466823662631214,0.1740545694483444,0.20238095238095238,counterfactual_validated
Ames,21,exact_repeat,O=N,6,6,6,1.0,2.0,6.0,0.3333333333333333,0.07252310713132222,0.005059816447707514,0.06746329068361472,0.20634920634920637,counterfactual_validated
Ames,34,exact_repeat,C(c)#N,3,3,3,1.0,1.0,3.0,0.3333333333333333,0.06250536441802979,0.009536290230850378,0.05296907418717941,0.25396825396825395,counterfactual_validated
Ames,16,exact_repeat,[N+](c)(=O)[O-],7,7,7,0.940451443195343,2.0,7.0,0.2857142857142857,0.06097566655703953,0.0018018575252166816,0.05917380903182285,0.19727891156462585,counterfactual_validated
Ames,17,exact_repeat,c(O)(c)c,7,7,7,0.8047393219811576,2.0,7.0,0.2857142857142857,0.05801185752664294,0.01799952451671873,0.040012333009924204,0.36734693877551017,counterfactual_validated
Ames,31,exact_repeat,c(c)(c)N,4,4,4,1.0,1.0,4.0,0.25,0.031474143266677856,0.01204306280851597,0.019431080458161887,0.4523809523809524,counterfactual_validated
Ames,5,exact_repeat,c(c)(c)-c,18,18,18,0.7832764817608727,4.0,18.0,0.2222222222222222,0.0707923819621404,0.0033164222267158846,0.06747595973542451,0.12962962962962962,counterfactual_validated
Ames,24,exact_repeat,Oc,5,5,5,0.9857059240341186,1.0,5.0,0.2,0.07549036741256714,0.02449986759456806,0.05099049981799908,0.3238095238095238,counterfactual_validated
Ames,10,exact_repeat,c(cc)(c(N)c)c(c)n,12,12,12,0.7727317561705908,2.0,12.0,0.16666666666666666,0.07084876174728076,-0.001402916619554162,0.07225167836683492,0.24206349206349206,counterfactual_validated
Ames,0,exact_repeat,c(c)(c)c,133,133,133,0.8874921370717815,19.0,133.0,0.14285714285714285,0.055945848667980136,0.015138740351955806,0.04080710831602433,0.13283208020050125,counterfactual_validated
Ames,15,exact_repeat,O=[N+](c)[O-],7,7,7,0.7950064795357841,1.0,7.0,0.14285714285714285,0.017602235078811646,0.0042801468433546165,0.013322088235457028,0.673469387755102,counterfactual_validated
Ames,3,exact_repeat,c(c)(c)C,28,28,28,0.7371669645820346,3.0,28.0,0.10714285714285714,0.07356057422501701,0.018015026014057054,0.05554554821095995,0.2891156462585034,counterfactual_validated
Ames,4,exact_repeat,c(N)(c)c,19,19,19,0.7834675406154833,1.0,19.0,0.05263157894736842,0.03177456793032194,0.012311698554855722,0.01946286937546622,0.38847117794486213,counterfactual_validated
Ames,2,exact_repeat,[O-][N+](c)=O,40,40,40,0.7886556655168533,1.0,40.0,0.025,0.006736431270837784,0.002736450271186186,0.003999980999651598,0.6059523809523809,counterfactual_validated
Ames,1,exact_repeat,[O-][N+],50,50,50,0.8708518779277802,1.0,50.0,0.02,0.02097086191177368,0.010546613790447737,0.010424248121325945,0.4476190476190476,counterfactual_validated
LD50_Zhu,16,exact_repeat,C(C)#N,3,3,3,1.0,2.0,3.0,0.6666666666666666,0.2233628531297048,-0.04195497743785381,0.2653178305675586,0.047619047619047616,counterfactual_validated
LD50_Zhu,8,exact_repeat,P(=O)(O)(O)O,6,6,6,0.9702523251374563,2.0,6.0,0.3333333333333333,0.08120614290237427,-0.018357119396872196,0.09956326229924646,0.09523809523809523,counterfactual_validated
LD50_Zhu,17,exact_repeat,Clc(c)c,3,3,3,0.9403635462125143,1.0,3.0,0.3333333333333333,0.07804674903551738,0.020393405614110332,0.057653343421407044,0.1111111111111111,counterfactual_validated
