task_name,fraction_masked,top_shap_drop_mean,random_drop_mean,empirical_p_median,faithfulness_gain
Ames,0.05,0.31673018634319305,0.00900051678013472,0.0588235294117647,0.30772966956305836
Ames,0.1,0.44468676878346336,0.030172535242098904,0.1372549019607843,0.41451423354136446
Ames,0.2,0.6274508552418815,0.0932781344196863,0.0980392156862745,0.5341727208221951
Ames,0.3,0.678849404056867,0.06953074954657092,0.0588235294117647,0.6093186545102961
LD50_Zhu,0.05,0.15767812770273945,-0.00862302733491462,0.0784313725490196,0.16630115503765408
LD50_Zhu,0.1,0.10897221540411312,-0.00869114772623612,0.1176470588235294,0.11766336313034924
LD50_Zhu,0.2,0.23681659872333208,-0.009562069636562667,0.0784313725490196,0.24637866835989475
LD50_Zhu,0.3,0.3812951135138671,-0.0030398535123095155,0.0196078431372549,0.3843349670261766
NR-AhR,0.05,0.21078432599703467,0.027560464538271632,0.0784313725490196,0.18322386145876304
NR-AhR,0.1,0.33575529522365993,0.09976065661033823,0.1568627450980392,0.2359946386133217
NR-AhR,0.2,0.622523029645284,0.11072861908417608,0.0196078431372549,0.511794410561108
NR-AhR,0.3,0.9885562923219469,0.1238471814159614,0.0392156862745098,0.8647091109059855
NR-Aromatase,0.05,0.12636620468563498,-0.0137005517217848,0.0980392156862745,0.14006675640741978
NR-Aromatase,0.1,0.24843593438466385,-0.030117155975765635,0.1176470588235294,0.27855309036042947
NR-Aromatase,0.2,0.44014543957180446,-0.05073286493619283,0.0392156862745098,0.4908783045079973
NR-Aromatase,0.3,0.6509138213263618,-0.15494873219066194,0.0588235294117647,0.8058625535170237
NR-ER,0.05,0.04298226038614906,0.006444684134589322,0.1176470588235294,0.036537576251559734
NR-ER,0.1,0.07234181298149954,0.012678548494974757,0.1176470588235294,0.059663264486524786
NR-ER,0.2,0.12596662839253742,0.006421691576639823,0.0980392156862745,0.11954493681589759
NR-ER,0.3,0.13531589508056638,0.008551312552558053,0.1568627450980392,0.12676458252800832
NR-ER-LBD,0.05,0.20839307043287486,0.014950606558058003,0.1372549019607843,0.19344246387481687
NR-ER-LBD,0.1,0.39914962980482316,0.06066370646158855,0.0588235294117647,0.33848592334323463
NR-ER-LBD,0.2,0.6465517150031196,0.08780397521124945,0.0392156862745098,0.5587477397918701
NR-ER-LBD,0.3,0.7845134205288358,0.0655315505133735,0.0196078431372549,0.7189818700154622
SR-ARE,0.05,0.16992752026352617,0.0105474148152603,0.1764705882352941,0.15938010544826586
SR-ARE,0.1,0.208390725362632,0.014322320860293206,0.2352941176470588,0.1940684045023388
SR-ARE,0.2,0.465262892552548,-0.010912786299983655,0.0588235294117647,0.47617567885253165
SR-ARE,0.3,0.5807265169504616,-0.020495075707634265,0.0588235294117647,0.6012215926580959
SR-HSE,0.05,0.2985201014412774,0.060016379687521174,0.0980392156862745,0.23850372175375623
SR-HSE,0.1,0.44639525148603654,0.05254904833104874,0.1568627450980392,0.3938462031549878
SR-HSE,0.2,0.6457631720436944,0.031415225461953224,0.0392156862745098,0.6143479465817412
SR-HSE,0.3,0.7729038000106812,-0.10870269041922355,0.0196078431372549,0.8816064904299047
SR-MMP,0.05,0.2746458157069153,0.022668383669935996,0.0980392156862745,0.2519774320369793
SR-MMP,0.1,0.49502843990921974,-0.007932582607285816,0.1372549019607843,0.5029610225165055
SR-MMP,0.2,0.8714646336932976,0.06287247716966604,0.0392156862745098,0.8085921565236316
SR-MMP,0.3,1.1987096836997404,-0.03298000260359709,0.0392156862745098,1.2316896863033375
SR-p53,0.05,0.40240640110439724,0.04417208105325698,0.1568627450980392,0.35823432005114025
SR-p53,0.1,0.6618448893229166,0.06770410339244541,0.0980392156862745,0.5941407859304713
SR-p53,0.2,0.9665966828664144,0.08904618901511036,0.0588235294117647,0.8775504938513041
SR-p53,0.3,1.0425950951046414,-0.1323340416016678,0.0392156862745098,1.1749291367063093
hERG_Karim,0.05,0.07200890344878036,0.01839429288481674,0.4117647058823529,0.05361461056396362
hERG_Karim,0.1,0.16792382051547364,0.03931487151528322,0.1568627450980392,0.12860894900019043
hERG_Karim,0.2,0.356258571975761,0.012677372091242848,0.1568627450980392,0.34358119988451813
hERG_Karim,0.3,0.4900275361206796,0.0445843124555217,0.0980392156862745,0.44544322366515793
