Task,AUC,MCC,F1,Recall,Precision
Ames,0.8600326264274063,0.53723968030188,0.858886346300534,0.9184339314845025,0.8065902578796562
LD50_Zhu,0.7862595419847329,0.4356509345752075,0.6424242424242425,0.5910780669144982,0.7035398230088495
hERG_Karim,0.7521302373349167,0.33523425602191237,0.7075405214940098,0.813614262560778,0.6259351620947631
NR-AhR,0.8572197033735496,0.4684452020429669,0.5421686746987951,0.5844155844155844,0.5056179775280899
NR-Aromatase,0.8048279013097775,0.27060661602239316,0.3076923076923077,0.2857142857142857,0.3333333333333333
NR-ER,0.7746686303387336,0.35885675680779866,0.38095238095238093,0.2857142857142857,0.5714285714285714
NR-ER-LBD,0.8791390728476821,0.6116501211967905,0.5909090909090909,0.4482758620689655,0.8666666666666667
SR-ARE,0.7749318104330037,0.29168103643189514,0.35802469135802467,0.25892857142857145,0.58
SR-HSE,0.8149189189189189,0.16444249606418124,0.19047619047619047,0.16,0.23529411764705882
SR-MMP,0.90011242592275,0.5153774695834827,0.5948275862068966,0.46938775510204084,0.8117647058823529
SR-p53,0.8401290582778786,0.2993933991086199,0.3076923076923077,0.2222222222222222,0.5
