Split,Property,Comparison,KS_stat,KS_p,Wasserstein
Random,MW,Train_vs_Test,0.025,0.5596752163759332,5.114697949111002
Random,MW,Val_vs_Test,0.0265,0.48382276598146434,6.082534898221969
Random,LogP,Train_vs_Test,0.0165,0.9483720845849481,0.05725286999999943
Random,LogP,Val_vs_Test,0.0185,0.8835917582147937,0.06974613500000006
Random,TPSA,Train_vs_Test,0.025,0.5596752163759332,2.2355749999999888
Random,TPSA,Val_vs_Test,0.033,0.22624166055654427,2.5619850000000017
Random,nRings,Train_vs_Test,0.01,0.9999656674371415,0.049499999999999364
Random,nRings,Val_vs_Test,0.0185,0.8835917582147937,0.04999999999999938
Butina,MW,Train_vs_Test,0.1205,4.585388793693764e-13,23.688693101778014
Butina,MW,Val_vs_Test,0.1905,3.928887302974626e-32,46.94538415266703
Butina,LogP,Train_vs_Test,0.021,0.770029236885313,0.0983561
Butina,LogP,Val_vs_Test,0.0775,1.2026534519189091e-05,0.4152247100000003
Butina,TPSA,Train_vs_Test,0.0735,4.033084453038063e-05,3.7177299999999875
Butina,TPSA,Val_vs_Test,0.064,0.0005517571553258706,7.557155000000006
Butina,nRings,Train_vs_Test,0.1405,1.265708207743793e-17,0.4724999999999999
Butina,nRings,Val_vs_Test,0.144,1.70510155251984e-18,0.43749999999999956
Scaffold,MW,Train_vs_Test,0.241,2.3197623533969894e-51,59.47263594911102
Scaffold,MW,Val_vs_Test,0.1185,1.197981125663578e-12,34.62038900000001
Scaffold,LogP,Train_vs_Test,0.117,2.4357420669914137e-12,0.4496037849999999
Scaffold,LogP,Val_vs_Test,0.0385,0.10315937616578036,0.1215086700000003
Scaffold,TPSA,Train_vs_Test,0.12,5.838554708333935e-13,10.281334999999997
Scaffold,TPSA,Val_vs_Test,0.061,0.001168994473274618,6.9814200000000035
Scaffold,nRings,Train_vs_Test,0.3725,7.191516162694328e-124,1.5179999999999993
Scaffold,nRings,Val_vs_Test,0.092,8.724334965755842e-08,0.25799999999999945
UMAP,MW,Train_vs_Test,0.065,0.00042615966358497826,15.714260101777999
UMAP,MW,Val_vs_Test,0.0945,3.425110792543792e-08,28.110039296444
UMAP,LogP,Train_vs_Test,0.0965,1.5919996522366633e-08,0.4674012500000002
UMAP,LogP,Val_vs_Test,0.089,2.5915024601613426e-07,0.47066618500000046
UMAP,TPSA,Train_vs_Test,0.0905,1.5104694380771965e-07,6.043030000000004
UMAP,TPSA,Val_vs_Test,0.1195,7.426668112815455e-13,7.896959999999996
UMAP,nRings,Train_vs_Test,0.0835,1.735691750052468e-06,0.3830000000000001
UMAP,nRings,Val_vs_Test,0.101,2.6770347282567847e-09,0.43850000000000017
